node_id,name,omic_type
248,ADAM21P1,mRNA
249,ADAM21,mRNA
250,ADAM22,mRNA
251,ADAM23,mRNA
252,ADAM28,mRNA
253,ADAM29,mRNA
254,ADAM2,mRNA
255,ADAM30,mRNA
256,ADAM32,mRNA
257,ADAM33,mRNA
258,ADAM3A,mRNA
259,ADAM5P,mRNA
260,ADAM6,mRNA
261,ADAM7,mRNA
262,ADAM8,mRNA
263,ADAM9,mRNA
264,ADAMDEC1,mRNA
265,ADAMTS10,mRNA
266,ADAMTS12,mRNA
267,ADAMTS13,mRNA
268,ADAMTS14,mRNA
269,ADAMTS15,mRNA
270,ADAMTS16,mRNA
271,ADAMTS17,mRNA
272,ADAMTS18,mRNA
273,ADAMTS19,mRNA
274,ADAMTS1,mRNA
275,ADAMTS20,mRNA
276,ADAMTS2,mRNA
277,ADAMTS3,mRNA
278,ADAMTS4,mRNA
279,ADAMTS5,mRNA
280,ADAMTS6,mRNA
281,ADAMTS7,mRNA
282,ADAMTS8,mRNA
283,ADAMTS9,mRNA
284,ADAMTSL1,mRNA
285,ADAMTSL2,mRNA
286,ADAMTSL3,mRNA
287,ADAMTSL4,mRNA
288,ADAMTSL5,mRNA
289,ADAP1,mRNA
290,ADAP2,mRNA
291,ADARB1,mRNA
292,ADARB2,mRNA
293,ADAR,mRNA
294,ADAT1,mRNA
295,ADAT2,mRNA
296,ADAT3,mRNA
297,ADA,mRNA
298,ADCK1,mRNA
299,ADCK2,mRNA
300,ADCK4,mRNA
301,ADCK5,mRNA
302,ADCY10,mRNA
303,ADCY1,mRNA
304,ADCY2,mRNA
305,ADCY3,mRNA
306,ADCY4,mRNA
307,ADCY5,mRNA
308,ADCY6,mRNA
309,ADCY7,mRNA
310,ADCY8,mRNA
311,ADCY9,mRNA
312,ADCYAP1R1,mRNA
313,ADCYAP1,mRNA
314,ADC,mRNA
315,ADD1,mRNA
316,ADD2,mRNA
317,ADD3,mRNA
318,ADH1A,mRNA
319,ADH1B,mRNA
320,ADH1C,mRNA
321,ADH4,mRNA
322,ADH5,mRNA
323,ADH6,mRNA
324,ADH7,mRNA
325,ADHFE1,mRNA
326,ADI1,mRNA
327,ADIG,mRNA
328,ADIPOQ,mRNA
329,ADIPOR1,mRNA
330,ADIPOR2,mRNA
331,ADK,mRNA
332,ADM2,mRNA
333,ADM,mRNA
334,ADNP2,mRNA
335,ADNP,mRNA
336,ADORA1,mRNA
337,ADORA2A,mRNA
338,ADORA2B,mRNA
339,ADORA3,mRNA
340,ADO,mRNA
341,ADPGK,mRNA
342,ADPRHL1,mRNA
343,ADPRHL2,mRNA
344,ADPRH,mRNA
345,ADRA1A,mRNA
346,ADRA1B,mRNA
347,ADRA1D,mRNA
348,ADRA2A,mRNA
349,ADRA2B,mRNA
350,ADRA2C,mRNA
351,ADRB1,mRNA
352,ADRB2,mRNA
353,ADRB3,mRNA
354,ADRBK1,mRNA
355,ADRBK2,mRNA
356,ADRM1,mRNA
357,ADSL,mRNA
358,ADSSL1,mRNA
359,ADSS,mRNA
360,AEBP1,mRNA
361,AEBP2,mRNA
362,AEN,mRNA
363,AES,mRNA
364,AFAP1L1,mRNA
365,AFAP1L2,mRNA
366,AFAP1,mRNA
367,AFARP1,mRNA
368,AFF1,mRNA
369,AFF2,mRNA
370,AFF3,mRNA
371,AFF4,mRNA
372,AFG3L1,mRNA
373,AFG3L2,mRNA
374,AFMID,mRNA
375,AFM,mRNA
376,AFP,mRNA
377,AFTPH,mRNA
378,AG2,mRNA
379,AGAP11,mRNA
380,AGAP1,mRNA
381,AGAP2,mRNA
382,AGAP3,mRNA
383,AGAP4,mRNA
384,AGAP5,mRNA
385,AGAP6,mRNA
386,AGAP7,mRNA
387,AGAP8,mRNA
388,AGA,mRNA
389,AGBL1,mRNA
390,AGBL2,mRNA
391,AGBL3,mRNA
392,AGBL4,mRNA
393,AGBL5,mRNA
394,AGER,mRNA
395,AGFG1,mRNA
396,AGFG2,mRNA
397,AGGF1,mRNA
398,AGK,mRNA
399,AGL,mRNA
400,AGMAT,mRNA
401,AGPAT1,mRNA
402,AGPAT2,mRNA
403,AGPAT3,mRNA
404,AGPAT4,mRNA
405,AGPAT5,mRNA
406,AGPAT6,mRNA
407,AGPAT9,mRNA
408,AGPHD1,mRNA
409,AGPS,mRNA
410,AGR2,mRNA
411,AGR3,mRNA
412,AGRN,mRNA
413,AGRP,mRNA
414,AGTPBP1,mRNA
415,AGTR1,mRNA
416,AGTR2,mRNA
417,AGTRAP,mRNA
418,AGT,mRNA
419,AGXT2L1,mRNA
420,AGXT2L2,mRNA
421,AGXT2,mRNA
422,AGXT,mRNA
423,AHCTF1,mRNA
424,AHCYL1,mRNA
425,AHCYL2,mRNA
426,AHCY,mRNA
427,AHDC1,mRNA
428,AHI1,mRNA
429,AHNAK2,mRNA
430,AHNAK,mRNA
431,AHRR,mRNA
432,AHR,mRNA
433,AHSA1,mRNA
434,AHSA2,mRNA
435,AHSG,mRNA
436,AHSP,mRNA
437,AICDA,mRNA
438,AIDA,mRNA
439,AIF1L,mRNA
440,AIF1,mRNA
441,AIFM1,mRNA
442,AIFM2,mRNA
443,AIFM3,mRNA
444,AIG1,mRNA
445,AIM1L,mRNA
446,AIM1,mRNA
447,AIM2,mRNA
448,AIMP1,mRNA
449,AIMP2,mRNA
450,AIPL1,mRNA
451,AIP,mRNA
452,AIRE,mRNA
453,AJAP1,mRNA
454,AK1,mRNA
455,AK2,mRNA
456,AK3L1,mRNA
457,AK3,mRNA
458,AK5,mRNA
459,AK7,mRNA
460,AKAP10,mRNA
461,AKAP11,mRNA
462,AKAP12,mRNA
463,AKAP13,mRNA
464,AKAP14,mRNA
465,AKAP1,mRNA
466,AKAP2,mRNA
467,AKAP3,mRNA
468,AKAP4,mRNA
469,AKAP5,mRNA
470,AKAP6,mRNA
471,AKAP7,mRNA
472,AKAP8L,mRNA
473,AKAP8,mRNA
474,AKAP9,mRNA
475,AKD1,mRNA
476,AKIRIN1,mRNA
477,AKIRIN2,mRNA
478,AKNAD1,mRNA
479,AKNA,mRNA
480,AKR1A1,mRNA
481,AKR1B10,mRNA
482,AKR1B15,mRNA
483,AKR1B1,mRNA
484,AKR1C1,mRNA
485,AKR1C2,mRNA
486,AKR1C3,mRNA
487,AKR1C4,mRNA
488,AKR1CL1,mRNA
489,AKR1D1,mRNA
490,AKR1E2,mRNA
491,AKR7A2,mRNA
492,AKR7A3,mRNA
493,AKR7L,mRNA
494,AKT1S1,mRNA
495,AKT1,mRNA
496,AKT2,mRNA
497,AKT3,mRNA
498,AKTIP,mRNA
499,ALAD,mRNA
500,ALAS1,mRNA
501,ALAS2,mRNA
502,ALB,mRNA
503,ALCAM,mRNA
504,ALDH16A1,mRNA
505,ALDH18A1,mRNA
506,ALDH1A1,mRNA
507,ALDH1A2,mRNA
508,ALDH1A3,mRNA
509,ALDH1B1,mRNA
510,ALDH1L1,mRNA
511,ALDH1L2,mRNA
512,ALDH2,mRNA
513,ALDH3A1,mRNA
514,ALDH3A2,mRNA
515,ALDH3B1,mRNA
516,ALDH3B2,mRNA
517,ALDH4A1,mRNA
518,ALDH5A1,mRNA
519,ALDH6A1,mRNA
520,ALDH7A1,mRNA
521,ALDH8A1,mRNA
522,ALDH9A1,mRNA
523,ALDOA,mRNA
524,ALDOB,mRNA
525,ALDOC,mRNA
526,ALG10B,mRNA
527,ALG10,mRNA
528,ALG11,mRNA
529,ALG12,mRNA
530,ALG13,mRNA
531,ALG14,mRNA
532,ALG1L2,mRNA
533,ALG1L,mRNA
534,ALG1,mRNA
535,ALG2,mRNA
536,ALG3,mRNA
537,ALG5,mRNA
538,ALG6,mRNA
539,ALG8,mRNA
540,ALG9,mRNA
541,ALKBH1,mRNA
542,ALKBH2,mRNA
543,ALKBH3,mRNA
544,ALKBH4,mRNA
545,ALKBH5,mRNA
546,ALKBH6,mRNA
547,ALKBH7,mRNA
548,ALKBH8,mRNA
549,ALK,mRNA
550,ALLC,mRNA
551,ALMS1P,mRNA
552,ALMS1,mRNA
553,ALOX12B,mRNA
554,ALOX12P2,mRNA
555,ALOX12,mRNA
