gene,kruskal_stat,p_value,eta_squared,dominant_subtype,is_hub,fdr_bh,sig_fdr5
RPS6,29.9982,1.3812382132533946e-06,0.0634,Basal,True,3.1391777573940787e-06,True
RPS20,28.9957,2.244070321030123e-06,0.061,Basal,False,5.042854654000277e-06,True
RPS3,28.9098,2.3393063452290536e-06,0.0608,Basal,True,5.198458544953452e-06,True
RPL13,28.3221,3.1083072785323186e-06,0.0594,Basal,False,6.831444568202898e-06,True
DHX15,27.8156,3.97061359170807e-06,0.0583,LumB,False,8.63176867762624e-06,True
CD44,27.3826,4.894248428715029e-06,0.0572,Basal,False,1.0525265438096836e-05,True
RPL7,27.3244,5.033933159755069e-06,0.0571,Basal,False,1.0710496084585253e-05,True
RPL36,27.1553,5.462217543827139e-06,0.0567,Basal,False,1.1499405355425557e-05,True
MED1,26.7889,6.518931156620506e-06,0.0558,Her2,False,1.3581106576292722e-05,True
RPS23,26.4847,7.549419446341988e-06,0.0551,LumA,False,1.556581329142678e-05,True
MRPL17,26.152,8.86348466581938e-06,0.0543,Her2,False,1.8088744215957916e-05,True
RPL13A,25.6825,1.1114600708319364e-05,0.0532,LumA,True,2.2453738804685585e-05,True
RPS14,24.8911,1.6271327072392015e-05,0.0514,LumA,False,3.254265414478403e-05,True
RPS25,24.2775,2.185996323586772e-05,0.0499,Basal,False,4.328705591260935e-05,True
RPL26L1,23.3483,3.416417769731491e-05,0.0478,LumB,False,6.698858372022532e-05,True
RPL26,23.3196,3.4638752306383404e-05,0.0477,Basal,False,6.725971321627845e-05,True
MRPL1,23.2444,3.591280283458012e-05,0.0475,Basal,False,6.906308237419254e-05,True
NFKB1,23.1607,3.738462429621479e-05,0.0473,LumA,False,7.120880818326625e-05,True
RPL10A,23.1059,3.8381500815972864e-05,0.0472,Basal,False,7.209918949980943e-05,True
GRB2,23.0955,3.8573066382398044e-05,0.0472,LumB,False,7.209918949980943e-05,True
RPSA,22.7089,4.643587336777774e-05,0.0463,Basal,False,8.59923580884773e-05,True
MRPL16,22.5911,4.913580004013994e-05,0.046,Basal,False,9.015743126631182e-05,True
RPL31,22.26,5.759076893799849e-05,0.0452,Basal,False,0.00010471048897817907,True
RPS15,21.9454,6.696028816854866e-05,0.0445,LumA,False,0.00012022886744293373,True
RPL35A,21.934,6.732816576804289e-05,0.0444,Basal,False,0.00012022886744293373,True
MAPK1,21.5815,7.970647523433681e-05,0.0436,Her2,False,0.00014107340749440144,True
TBP,21.4851,8.347082819701513e-05,0.0434,Basal,False,0.0001464400494684476,True
RBX1,21.4307,8.567184009893905e-05,0.0433,Her2,False,0.00014899450451989402,True
RPL4,21.3353,8.967639316831808e-05,0.043,Basal,False,0.00015461447097985876,True
RPL38,20.7368,0.00011939378315985157,0.0416,Basal,False,0.00020409193702538732,True
RPS4X,20.029,0.0001674066849010674,0.04,LumA,True,0.00028374014390011425,True
RPL34,19.7807,0.0001884643283230688,0.0394,LumA,False,0.00031674677029087196,True
FLT3LG,19.6862,0.0001971536925103597,0.0392,LumA,False,0.0003285894875172662,True
RPL18,19.2032,0.00024818297865392754,0.038,LumA,False,0.0004102197994279794,True
RPL24,18.8219,0.0002975894578562832,0.0371,Basal,False,0.00048785157025620193,True
CTNNB1,18.5146,0.0003444282125245813,0.0364,Basal,False,0.0005600458740237094,True
