Method,Accuracy,F1_macro,AUC_macro,ECE
Random Forest,0.8462,0.8344,0.9820,N/A
SVM (RBF),0.8308,0.7987,0.9749,N/A
Logistic Reg.,0.8615,0.8907,0.9779,N/A
HOBIT (ours),0.8985±0.0331,0.9052±0.0366,0.9773±0.0120,0.0877±0.0123
