Seed,accuracy,balanced_acc,F1_macro,F1_weighted,precision,recall,AUC_macro,AUC_weighted,ECE,MCE
42,0.9114,0.9028,0.8971,0.9114,0.8951,0.9028,0.9696,0.967,0.0628,0.5714
123,0.9747,0.9762,0.9797,0.9745,0.9845,0.9762,0.9984,0.9979,0.0834,0.4763
456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0418,0.4033
789,0.9494,0.9524,0.9467,0.9484,0.947,0.9524,0.9865,0.9818,0.0401,0.6096
1024,0.9241,0.9185,0.9155,0.9247,0.9137,0.9185,0.9733,0.9721,0.061,0.6006
Mean±SD,0.9519±0.0324,0.9500±0.0358,0.9478±0.0384,0.9518±0.0323,0.9481±0.0400,0.9500±0.0358,0.9856±0.0125,0.9838±0.0133,0.0578±0.0159,0.5322±0.0799
